,nb1,p23,b23,nb23,ss4_L4,ss4_L23,p4,b4,nb4,p5_L23,p5_L56,b5,nb5,p6_L4,p6_L56,b6,nb6,corticcortical,TCs,TCn,TIs,TIn,TRN
p6_L4_5,0.0,0.0457828673910795,0.006001281785883039,0.004200337583416942,0.018737011756608347,0.013844394818485263,0.04067819892054218,0.0,0.014604595457007355,0.07914532388285865,0.03033194393519606,0.2483387101378936,0.15670531443262475,0.004708632114374133,0.02460378957204931,0.0,0.06881330203435895,0.00712318547817946,0.003510228841613587,0.0071399570664870595,0.0,0.0,0.0
p6_L4_4,0.0,0.004920698332109979,0.0013476142847052084,0.017606480708475328,0.12077938573823001,0.045003868977985015,0.039859500733159615,0.09753412421055932,0.06559052603229149,0.009558282449787903,0.005448937395487847,0.0,0.0,0.12393911730858632,0.0,0.0,0.06233760627918128,0.04496011928382882,0.11350618027243935,0.04489264750293574,0.0,0.0,0.0
p6_L4_23,0.0,0.007006718357980771,0.004342625457397306,0.006515908302480127,0.0003753192400203526,0.005387848104111659,0.004857179742455519,0.0,0.0016577448877090899,0.005888451028792311,0.0,0.0,0.0,0.0005809451075121036,0.0,0.0,0.0005340780004270255,0.0,0.0,0.0,0.0,0.0,0.0
p6_L56_6,0.0,0.004230606073301092,0.0012976556918668245,0.0024219679139011927,0.006673057945020345,0.01026366892614884,0.011880091528964779,0.0,0.004210597468644914,0.001150492370685215,0.25709981750746264,0.0,0.10165305536774825,0.004249654412856282,0.2675235902931332,0.30647283990224755,0.07935724511039396,0.09274770503215597,0.036432764321435135,0.08954452780917142,0.0,0.0,0.0
p6_L56_5,0.0,0.003652182853560827,0.00047873319620997504,0.0003350685917132279,0.0014946856097917969,0.0011043926310270807,0.003244974137209403,0.0,0.001165035222797498,0.006313566871104599,0.0024196345023351617,0.01981043195249379,0.012500668810101707,0.00037561617373038886,0.0019626891789037517,0.0,0.005489362639522137,0.000568229500435558,0.0002800173584128486,0.0005695674006312965,0.0,0.0,0.0
p6_L56_4,0.0,0.0002066035795639019,5.658179313182098e-05,0.000739236931912063,0.005071120346519525,0.0018895611552536714,0.0016735664280337138,0.004095129965606151,0.00275392567256607,0.00040132014509457344,0.00022878256189394722,0.0,0.0,0.005203786852132512,0.0,0.0,0.002617346508458176,0.0018877242526826456,0.004765742901547858,0.001884891339443259,0.0,0.0,0.0
p6_L56_23,0.0,0.005479853261255015,0.0033963046692211552,0.00509599780341026,0.00029353175857206723,0.004213758209766471,0.0037987301461717624,0.0,0.0012964983413232857,0.004605272529202543,0.0,0.0,0.0,0.00045434878060772807,0.0,0.0,0.00041769469284733953,0.0,0.0,0.0,0.0,0.0,0.0
p6_L56_1,0.0031803334917949564,0.00011860575863853629,1.4436506889600415e-05,0.00029639011614581253,0.0,0.0,1.0166678281215977e-05,0.0,0.0,1.2799305039024463e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014449247366212841,0.0,0.0014084049926116296,0.0,0.0,0.0
b6,0.0,0.0010863928509304399,0.0003332297647635364,0.0006219460241052566,0.0017135990256965542,0.0026356451894809707,0.0030507322785068157,0.0,0.0010812547679515617,0.0002954391557394894,0.06602160514975217,0.0,0.03480514791917639,0.0010912843439118951,0.06869836399656191,0.0776913066564457,0.020117176018758617,0.023817023362923795,0.009355703181212684,0.022994467734954803,0.0,0.0,0.0
nb6,0.0,0.0010863928509304399,0.0003332297647635364,0.0006219460241052566,0.0017135990256965542,0.0026356451894809707,0.0030507322785068157,0.0,0.0010812547679515617,0.0002954391557394894,0.06602160514975217,0.0,0.03480514791917639,0.0010912843439118951,0.06869836399656191,0.0776913066564457,0.020117176018758617,0.023817023362923795,0.009355703181212684,0.022994467734954803,0.0,0.0,0.0
TCs,0.06928831136808185,0.0,0.007347612825531393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006495740142332709,0.012930239788549205,0.0,0.0,0.0,0.0,0.0,0.5773672055427251,0.0,0.4190938511326861
TCn,0.06928831136808185,0.0,0.007347612825531393,0.0,0.0,0.0,0.0,0.0,0.0,0.012845180684325623,0.01590075418741654,0.0,0.0,0.0,0.021334895651106186,0.0,0.0,0.0,0.0,0.0,0.0,0.5773672055427251,0.4190938511326861
TIs,0.004526091307108572,0.0,0.007559762209930539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004151625221403949,0.000800058586916482,0.0,0.0,0.0,0.0002905497882364187,0.0,0.4226327944572748,0.0,0.0
TIn,0.004492564704833693,0.0,0.007559762209930539,0.0,0.0,0.0,0.0,0.0,0.0,0.0007982362282402352,0.0010042581592052552,0.0,0.0,0.0,0.0013091867785906069,0.0,0.0,0.0,0.0,0.0002216215566658741,0.0,0.4226327944572748,0.0
TRN,0.08940427273300883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008472704533477447,0.0,0.0,0.0,0.0,0.04842496470606979,0.024624617407319343,0.0,0.0,0.16181229773462782
